Path Size;DurationAStar;DurationDijkstra
526.5;4347;21175
536.832;5119;20151
600.44;6683;19377
588.139;6619;19357
615.415;7193;19198
635.516;7633;21136
639.619;8531;21731
502.512;3915;21163
488.595;3222;20923
678;9128;19398
687.85;8523;19392
750.551;9471;19273
671.636;8188;19462
613.656;6904;19489
641.941;8536;21363
474.868;3010;21531
427.841;2329;21303
542.963;5370;21561
0;481;20126
502.789;3089;19442
583.506;6047;19379
538.605;4163;19448
553.285;4766;21550
374.412;1850;21669
555.542;12475;25023
280.428;7172;24427
230.213;5075;22690
147.286;1495;23083
211.077;4508;25960
197.301;4735;27755
226.052;6480;27687
244.678;7508;26079
248.781;7552;25964
111.674;821;23026
99.0488;573;22890
289.414;7018;22823
299.263;6910;24592
416.545;10084;26315
365.071;8998;24869
316.729;7822;25080
359.443;8094;22966
125.657;946;23458
333.686;7697;22846
396.165;8242;22767
349.722;8954;25330
0;413;25261
193.959;4331;24444
149.058;1791;24310
162.447;2044;23328
227.615;4781;22763
635.735;10292;18966
369.029;5598;20646
153.765;1962;20882
191.749;1909;21756
79.3198;756;21288
114.259;1235;21009
94.2949;889;20285
298.093;4167;19003
302.196;4292;18940
230.58;2369;19074
243.181;2716;20425
342.829;5909;21106
352.678;6043;20819
531.915;9987;20901
480.441;8606;19500
432.1;6637;19704
500.971;7967;19042
267.186;3255;18868
509.901;8302;20828
599.098;10946;20386
550.355;9534;20804
302.718;5287;20864
0;423;19493
208.069;1759;19021
215.862;1926;19065
430.548;6772;19587
587.661;11293;22730
320.955;6991;23566
205.631;5430;22573
58.0164;587;23430
131.134;2326;21387
101.079;925;21517
146.109;2811;20819
190.308;4235;20780
194.411;4346;20702
122.795;1507;21887
110.341;1393;24006
235.044;7298;24148
244.893;7313;24086
424.13;11163;25063
372.656;9640;24891
324.315;8328;23657
393.186;10808;24923
159.401;4969;23345
402.116;8951;25253
517.533;11457;21967
471.091;8904;20982
190.514;4206;20831
103.824;969;21612
0;343;23100
108.077;1346;23615
348.983;8278;22818
633.837;11395;21677
367.131;8366;20144
252.369;6059;20404
115.89;1962;20490
171.263;3496;20303
139.866;2527;22358
186.238;5117;22314
123.024;2532;22138
127.128;2417;22021
50.0774;1004;21072
99.5435;1597;21026
167.76;3593;20431
177.609;3549;20092
326.334;7304;21433
274.86;7422;21633
226.519;5974;22864
320.424;8289;22184
86.6382;2066;21498
329.354;7672;20414
515.835;9585;20315
469.392;9058;21388
122.17;2253;22023
143.953;2834;22579
132.21;2891;21772
0;453;21981
282.088;6913;20070
572.03;10323;24851
296.916;5068;25844
313.884;6213;26181
230.957;2926;27617
294.748;6434;26789
282.264;6672;26189
309.723;6861;24790
329.64;7380;24701
333.744;7070;24570
196.637;1317;25741
182.72;1266;27202
374.376;8646;27204
384.226;8874;26874
448.893;9781;24795
369.978;8180;24623
311.999;5776;24155
351.17;7255;26682
173.21;1149;27368
225.595;2551;26822
385.551;8969;26551
344.146;6938;24235
201.132;1449;24750
277.63;4543;24385
232.729;2359;24115
247.41;3108;26133
0;422;26948
